鄉鎮市區,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,交易年月日,建築完成年月,交易筆棟數,移轉層次,建物型態,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,主建物面積,附屬建物面積,陽台面積,電梯
內湖區,臺北市內湖區文德路６６巷６９弄２號三樓,27.69,都市：其他:第三種住宅區。,1100512,0670814,土地4建物1車位0,三層,公寓(5樓含以下無電梯),89.54,3,2,1,有,無,13250000,147979,,70.59,0.0,18.95,無
中山區,臺北市中山區中山北路一段１２１巷３３號十四樓,18.12,商,1100509,1000128,土地1建物1車位2,十四層,住宅大樓(11層含以上有電梯),261.77,3,3,2,有,有,49000000,187187,升降平面,95.43,7.68,12.35,有
內湖區,臺北市內湖區大湖山莊街２１９巷９０號,40.55,住,1100528,0760410,土地1建物1車位0,一層,公寓(5樓含以下無電梯),214.80999999999997,4,3,3,有,無,25300000,117779,,94.8,112.87,0.0,無
內湖區,臺北市內湖區內湖路三段３１０號二樓,37.19,都市：其他:第三種住宅區。,1100515,0750221,土地3建物1車位0,二層,公寓(5樓含以下無電梯),111.94,3,2,2,有,無,15280000,136502,,89.19,4.12,9.64,無
萬華區,臺北市萬華區環河南路二段１９號二樓,7.96,商,1100513,1090807,土地2建物1車位1,二層,住宅大樓(11層含以上有電梯),104.34,2,2,1,有,無,15600000,166449,坡道機械,49.96,2.83,4.0,有
萬華區,臺北市萬華區民和街５８之１號三樓,27.31,住,1100513,0640623,土地3建物1車位0,三層,公寓(5樓含以下無電梯),95.49,3,2,1,有,無,12200000,127762,,90.55,0.0,4.94,無
中山區,臺北市中山區南京東路三段１０８號四樓,16.06,商,1100530,1091113,土地1建物1車位1,四層,住宅大樓(11層含以上有電梯),203.8,0,0,0,無,有,68000000,379556,坡道平面,91.53,6.38,8.97,有
士林區,臺北市士林區忠誠路二段１６０巷７號四樓,42.4,住,1100529,0740801,土地1建物1車位0,四層,公寓(5樓含以下無電梯),149.03,4,2,2,有,無,20500000,137556,,124.81,0.0,11.16,無
北投區,臺北市北投區中山北路七段２１９巷３弄３７號七樓,8.66,住,1100513,0730920,土地1建物2車位2,七層,華廈(10層含以下有電梯),389.27,6,4,4,有,有,66300000,170319,坡道平面,325.05,20.91,26.62,有
大同區,臺北市大同區哈密街６３巷１４號三樓,20.25,住,1100505,0600311,土地1建物1車位0,三層,公寓(5樓含以下無電梯),53.44,2,1,1,有,無,7500000,140344,,53.44,0.0,0.0,無
中正區,臺北市中正區信義路二段１７５號十二樓,7.9,商,1100509,0970820,土地2建物1車位0,十二層,住宅大樓(11層含以上有電梯),75.21000000000001,2,2,1,有,有,33990000,451935,,52.16,0.0,2.98,有
中山區,臺北市中山區長安東路二段２３０號十樓之９,3.85,商,1100529,0740418,土地1建物1車位0,十層,住宅大樓(11層含以上有電梯),43.629999999999995,1,1,1,有,有,9800000,224565,,32.77,0.0,5.67,有
松山區,臺北市松山區市民大道五段１號八樓,9.01,住,1100525,0970221,土地1建物1車位0,八層,華廈(10層含以下有電梯),43.78,0,0,0,無,有,11900000,271814,,18.66,1.38,0.0,有
北投區,臺北市北投區永興路一段５３巷２６號,28.33,商,1100529,0590409,土地2建物1車位0,一層,公寓(5樓含以下無電梯),66.91,2,2,1,有,無,11980000,179046,,66.91,0.0,0.0,無
南港區,臺北市南港區東明街２８號五樓之２,32.47,住,1100526,0980312,土地1建物1車位1,五層,住宅大樓(11層含以上有電梯),187.37,3,2,2,有,有,33000000,176122,坡道平面,99.66,3.28,6.36,有
松山區,臺北市松山區復興北路２０７號十三樓之２,16.85,商,1100513,0740522,土地1建物1車位0,十三層,住宅大樓(11層含以上有電梯),103.95,3,2,1,有,有,26380000,253776,,69.52,0.0,12.51,有
大同區,臺北市大同區民生西路２２７號七樓,8.79,商,1100509,1061114,土地1建物1車位1,七層,住宅大樓(11層含以上有電梯),97.75,2,2,1,有,有,22980000,229360,升降機械,53.77,4.79,3.59,有
北投區,臺北市北投區新民路７６之６號,14.91,都市：其他:特定休閒旅館住宅專用區。,1100517,1020531,土地1建物1車位0,一層,公寓(5樓含以下無電梯),61.199999999999996,1,1,1,有,有,11470000,187418,,31.69,2.31,5.05,無
中山區,臺北市中山區敬業一路１３５號八樓之１,21.71,商,1100513,1041020,土地1建物1車位1,八層,華廈(10層含以下有電梯),93.06,2,1,1,有,有,27362000,324545,坡道機械,43.26,1.49,4.61,有
大安區,臺北市大安區信義路二段５６號四樓之４,3.67,商,1100531,0950630,土地1建物1車位0,四層,住宅大樓(11層含以上有電梯),35.379999999999995,1,1,1,有,有,15000000,423968,,16.3,0.0,6.24,有
信義區,臺北市信義區忠孝東路四段５５９巷３０號,25.69,住,1100521,0730815,土地4建物1車位0,一層,華廈(10層含以下有電梯),124.52,3,1,1,有,有,53860000,432541,,98.54,11.18,0.0,有
士林區,臺北市士林區東山路１２０巷２號五樓,28.45,住,1100508,0731218,土地1建物1車位0,五層,公寓(5樓含以下無電梯),115.04,3,2,2,有,無,16000000,139082,,95.89,0.0,11.29,無
中山區,臺北市中山區明水路３９７巷７弄５５號,60.93,住,1100517,0790822,土地1建物1車位0,一層,華廈(10層含以下有電梯),210.22,4,2,2,有,有,67000000,318714,,162.45,23.78,0.0,有
士林區,臺北市士林區中山北路七段２１９巷１８號五樓,40.41,住,1100505,0720517,土地1建物1車位1,五層,華廈(10層含以下有電梯),222.87,4,2,2,有,有,32000000,143581,坡道平面,138.66,0.0,31.95,有
內湖區,臺北市內湖區康寧路一段４８巷３號二樓,39.25,住,1100515,0680306,土地1建物1車位0,二層,公寓(5樓含以下無電梯),97.18,3,2,2,有,無,14850000,152809,,86.89,0.0,10.29,無
大安區,臺北市大安區復興南路二段１９３巷２號十一樓,17.27,商,1100511,1040508,土地2建物1車位2,十一層,住宅大樓(11層含以上有電梯),214.64999999999998,4,2,2,有,有,66500000,398393,升降機械,90.77,2.92,11.05,有
文山區,臺北市文山區秀明路一段１８５巷３８號五樓,173.79,住,1100504,1070302,土地1建物1車位1,五層,華廈(10層含以下有電梯),271.67,2,1,2,有,有,49880000,183605,坡道平面,141.0,0.0,12.84,有
中正區,臺北市中正區牯嶺街８３號二樓之１,44.23,商,1100513,1021223,土地2建物1車位3,二層,住宅大樓(11層含以上有電梯),504.65999999999997,3,2,3,有,有,118490000,286189,坡道平面,242.01,5.17,26.71,有
文山區,臺北市文山區辛亥路四段２０９巷２６號十六樓,17.67,住,1100521,1090430,土地1建物1車位1,十六層,住宅大樓(11層含以上有電梯),155.59,3,2,2,有,有,30600000,226754,坡道平面,69.97,6.69,7.51,有
松山區,臺北市松山區民生東路三段１１３巷２５弄５３號六樓,23.46,住,1100521,0701215,土地1建物1車位0,六層,華廈(10層含以下有電梯),121.74,3,2,2,有,有,27620000,226877,,98.73,0.0,15.73,有
內湖區,臺北市內湖區文德路２０８巷４８號十樓,32.68,住,1100510,0831229,土地1建物1車位1,十層,住宅大樓(11層含以上有電梯),199.4,4,2,2,有,有,36800000,184554,坡道平面,149.29,0.71,13.34,有
內湖區,臺北市內湖區南京東路六段７８號五樓,34.31,住,1100531,1090612,土地1建物1車位1,五層,住宅大樓(11層含以上有電梯),220.57,4,2,2,有,有,36400000,182924,坡道平面,107.45,7.46,9.92,有
中正區,臺北市中正區信義路二段２６１號十四樓,15.29,商,1100528,1070702,土地12建物1車位2,十四層,住宅大樓(11層含以上有電梯),197.55,0,0,0,無,有,72393200,441672,坡道平面,68.34,15.03,7.33,有
北投區,臺北市北投區公路２０９巷２５號三樓,68.39,都市：其他:第二種住宅區。,1100522,1031230,土地3建物1車位1,三層,華廈(10層含以下有電梯),140.1,3,2,2,有,有,22200000,158458,坡道機械,75.61,4.93,10.4,有
中山區,臺北市中山區林森北路５０號八樓之３,6.9,商,1100506,0671028,土地1建物1車位0,八層,住宅大樓(11層含以上有電梯),76.8,2,1,1,有,有,13680000,178125,,65.35,0.0,0.0,有
北投區,臺北市北投區大度路三段２７０巷６９號四樓之１,19.67,,1100529,1010217,土地1建物1車位0,四層,住宅大樓(11層含以上有電梯),110.44,2,2,1,有,有,17600000,159363,,61.01,1.13,10.31,有
大安區,臺北市大安區羅斯福路二段７９號十樓之４,8.66,商,1100503,0780930,土地1建物1車位0,十層,住宅大樓(11層含以上有電梯),88.5,3,1,1,有,有,22300000,251977,,64.96,1.89,0.0,有
萬華區,臺北市萬華區中華路一段２１６號五樓之１,11.67,商,1100502,1010705,土地1建物1車位1,五層,住宅大樓(11層含以上有電梯),148.89999999999998,2,2,1,有,有,24200000,162525,升降機械,68.1,11.38,7.01,有
南港區,臺北市南港區成福路１６８號五樓,11.68,都市：其他:第三種住宅區。,1100521,0840627,土地2建物1車位0,五層,華廈(10層含以下有電梯),54.31,1,0,1,有,有,8080000,148776,,25.45,0.53,3.95,有
中正區,臺北市中正區仁愛路一段２３巷８號四樓之１,15.02,住,1100506,1061116,土地1建物1車位1,四層,華廈(10層含以下有電梯),87.51,2,1,1,有,有,27332000,363079,升降機械,31.28,2.45,3.79,有
中山區,臺北市中山區新生北路二段１２７巷４６號二樓,58.0,商,1100524,0560603,土地1建物2車位0,二層,公寓(5樓含以下無電梯),140.84,4,1,2,有,無,21100000,149815,,140.84,0.0,0.0,無
