鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
中正區,房地(土地+建物)+車位,臺北市中正區水源路49號十二樓之2,28.09,住,,,1090107,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0911202,152.23000000000002,3,2,1,有,有,25000000,164225,坡道平面,33.62,0,,RPRPMLNJKHPFFAA57CA,80.01,0.0,8.83,,
大同區,房地(土地+建物),臺北市大同區民權西路２３７之８號十二樓之１,6.02,其他,,,1090107,土地3建物1車位0,十二層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080625,63.45,2,2,1,有,有,14880000,234515,,0.0,0,,RPOPMLNJKHPFFBA37CA,40.04,0.0,4.46,,
大安區,房地(土地+建物),臺北市大安區復興南路一段１０７巷１７號四樓之１,6.45,住,,,1090108,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,33.879999999999995,3,2,2,有,有,7000000,206612,,0.0,0,,RPSNMLLLJHPFFFA87CA,26.02,0.0,4.62,,
松山區,房地(土地+建物),臺北市松山區敦化南路一段９０號十三樓之３,25.29,商,,,1090102,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0750624,206.94,4,2,2,有,有,68000000,328598,,0.0,0,,RPUNMLKLLHPFFDA97CA,155.23,0.0,23.82,,
中正區,房地(土地+建物),臺北市中正區中華路二段313巷10號5樓,14.8,住,,,1090108,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,加強磚造,,35.11,2,1,1,有,無,5500000,156651,,0.0,0,,RPSNMLMLJHPFFAA57DA,30.16,0.0,4.95,,
北投區,房地(土地+建物),臺北市北投區自強街５巷５５號三樓,23.85,住,,,1090110,土地3建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0661224,65.25,2,2,1,有,無,8100000,124138,,0.0,0,,RPVOMLMJLHPFFEA28CA,57.15,0.0,8.1,,
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路三段３５９號三樓之１,70.99,住,,,1090109,土地1建物1車位1,三層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050107,153.56,2,2,1,有,有,19800000,146167,坡道平面,33.15,2200000,,RPOQMLLMJHPFFCA57CA,62.01,9.4,8.3,,
文山區,房地(土地+建物),臺北市文山區萬美街二段５９號五樓,41.14,住,,,1090104,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840830,136.06,2,1,2,有,有,14580000,107159,,0.0,0,,RPVNMLNJKHPFFAA77CA,86.48,2.48,9.72,,
大安區,房地(土地+建物),臺北市大安區臥龍街５８巷４號五樓,27.6,住,,,1090101,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760122,108.95,3,2,2,有,無,18500000,169803,,0.0,0,,RPWNMLKKKHPFFFA18CA,97.36,0.0,8.42,,
大安區,房地(土地+建物),臺北市大安區信義路四段９６號十樓,3.94,商,,,1090106,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0781012,57.97,2,1,1,有,有,15435000,266258,,0.0,0,,RPROMLPJKHPFFFA18CA,40.2,1.08,5.04,,
北投區,房地(土地+建物),臺北市北投區中山路１之９號,4.13,其他,,,1090113,土地1建物1車位0,一層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0670404,25.5,1,0,1,有,無,2500000,98039,,0.0,0,,RPRPMLPKKHPFFEA28CA,20.83,1.55,0.0,,
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段２１８巷５０號１１樓,25.02,商,,,1090103,土地1建物1車位1,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031003,178.39,3,2,2,有,有,28850000,160849,塔式車位,10.22,1800000,,RPQSMLLMJHPFFCA08DA,87.22,7.73,9.5,,
大安區,房地(土地+建物),臺北市大安區仁愛路四段３００巷１７弄１號２樓,31.29,住,,,1090104,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730724,141.96,4,2,2,有,無,35500000,250070,,0.0,0,,RPUOMLOJKHPFFFA48DA,118.74,0.0,15.94,,
北投區,房地(土地+建物),臺北市北投區新民路1巷8之7號,10.58,住,,,1090103,土地2建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0690805,50.05,1,1,1,有,有,4180000,83516,,0.0,0,,RPTNMLPJKHPFFEA28DA,39.34,4.2,0.0,,
南港區,房地(土地+建物)+車位,臺北市南港區研究院路二段１５７號三樓,70.32,住,,,1090110,土地1建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020801,183.65,3,2,2,有,有,23300000,126872,坡道平面,30.24,0,,RPQOMLOJKHPFFDA77CA,86.76,11.25,5.39,,
信義區,房地(土地+建物),臺北市信義區虎林街１４１巷１５弄７號二樓,22.25,住,,,1090104,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0600801,64.66,2,1,1,有,無,13200000,204145,,0.0,0,,RPQNMLMKKHPFFDA57CA,61.84,0.0,2.82,,
大同區,房地(土地+建物),臺北市大同區承德路三段１２９巷８號二樓,25.25,商,,,1090116,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,75.5,2,1,1,有,無,10300000,136424,,0.0,0,,RPXNMLNJKHPFFBA08CA,75.5,0.0,0.0,,
南港區,房地(土地+建物)+車位,臺北市南港區重陽路１２５巷３６弄３４號,15.68,住,,,1090105,土地1建物1車位1,一層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970122,76.28,0,0,0,無,有,15500000,203199,坡道機械,0.0,0,,RPOOMLOJKHPFFDA57CA,36.5,0.0,7.26,,
大安區,房地(土地+建物),臺北市大安區信義路四段２４８號七樓,10.35,商,,,1090109,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.89999999999999,3,2,2,有,有,29680000,267628,,0.0,0,,RPUOMLPJKHPFFFA48CA,99.85,0.0,0.0,,
士林區,房地(土地+建物),臺北市士林區華齡街212號二樓,24.43,住,,,1090109,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0661213,85.02,3,1,1,有,無,14600000,171724,,0.0,0,,RPVNMLPLKHPFFEA58CA,79.82,0.0,5.2,,
中山區,房地(土地+建物)+車位,臺北市中山區林森北路４８１號十樓之８,4.7,商,,,1090115,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920122,63.03,2,1,1,有,有,10280000,163097,坡道機械,0.0,0,,RPQRMLMKKHPFFCA87CA,23.02,0.74,3.11,,
萬華區,房地(土地+建物)+車位,臺北市萬華區漢口街二段51號12樓,7.81,商,,,1090110,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010530,120.97,2,2,1,有,有,21500000,177730,升降機械,0.0,0,,RPRNMLKKKHPFFBA27CA,58.1,1.79,6.23,,
文山區,房地(土地+建物)+車位,臺北市文山區辛亥路四段252巷2弄4號6樓,30.06,住,,,1090104,土地2建物1車位1,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820424,157.43,4,2,3,有,有,18180000,115480,坡道平面,40.96,0,,RPQOMLMKKHPFFAA37CA,111.95,24.58,9.68,,
信義區,房地(土地+建物),臺北市信義區忠孝東路五段２１５巷２３號二樓之１,11.32,住,,,1090108,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831129,47.019999999999996,1,1,1,有,無,12460000,264994,,0.0,0,,RPTNMLQJKHPFFDA18CA,27.77,3.61,3.8,,
中山區,房地(土地+建物),臺北市中山區林森北路２５９巷９號５樓之１３,6.19,商,,,1090106,土地1建物1車位0,五層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0730922,37.58,1,1,1,有,有,5550000,147685,,0.0,0,,RPPPMLKKKHPFFCA37CA,25.49,0.0,3.19,,
中山區,房地(土地+建物),臺北市中山區民族東路６０號七樓之３,4.92,商,,,1090110,土地1建物1車位0,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811210,43.61,0,0,0,無,有,6480000,148590,,0.0,0,,RPRRMLRJKHPFFCA38CA,24.67,1.33,4.07,,
中山區,房地(土地+建物)+車位,臺北市中山區民生東路1段70巷6號4樓,10.24,商,,,1090106,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960919,68.8,1,1,1,有,有,10300000,149709,升降機械,11.63,0,,RPWNMLTKKHPFFCA88DA,25.93,10.98,0.87,,
北投區,房地(土地+建物),臺北市北投區自強街63號二樓,91.67,住,,,1090107,土地2建物2車位0,二層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,0580625,197.81,2,2,2,有,無,30000000,151661,,0.0,0,,RPQNMLQJKHPFFEA08DA,197.81,0.0,0.0,,
大安區,房地(土地+建物),臺北市大安區復興南路二段１７１巷２０號九樓,25.33,住,,,1090103,土地1建物1車位0,九層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740522,128.87,3,2,2,有,有,26980000,209358,,0.0,0,,RPSNMLMKKHPFFFA97CA,96.8,1.8,9.07,,
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路二段５１號七樓之１,25.06,住,,,1090109,土地1建物1車位2,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1021206,194.45,2,2,1,有,有,25750000,195262,坡道平面,77.94,3000000,,RPUNMLTKLHPFFCA68CA,66.82,0.0,7.52,,
中山區,房地(土地+建物),臺北市中山區建國北路三段７５巷５號三樓,32.63,住,,,1090111,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720225,152.23,4,2,2,有,有,26000000,170794,,0.0,0,,RPXOMLRJKHPFFCA68CA,120.23,0.0,14.72,,
內湖區,房地(土地+建物),臺北市內湖區大湖山莊街２０６號四樓,10.49,住,,,1090107,土地1建物1車位0,四層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820729,38.68,1,1,1,有,有,6320000,163392,,0.0,0,,RPORMLQJKHPFFCA97CA,26.25,0.0,1.86,,
中山區,房地(土地+建物),臺北市中山區長春路28號九樓之7,3.69,商,,,1090110,土地1建物1車位0,九層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0990212,41.980000000000004,1,1,1,有,有,11350000,270367,,0.0,0,,RPRNMLLKKHPFFCA47CA,22.96,1.04,2.93,,
信義區,房地(土地+建物)+車位,臺北市信義區松仁路３０８巷９５號五樓,14.1,住,,,1090115,土地1建物2車位1,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030418,74.42,1,1,1,有,有,17080000,229477,塔式車位,0.0,0,,RPXPMLMKKHPFFDA48CA,37.09,5.2,0.0,,
萬華區,房地(土地+建物),臺北市萬華區長順街１４巷１弄１號三樓,20.64,住,,,1090103,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0561129,53.42,2,1,1,有,有,5200000,97342,,0.0,0,,RPSNMLMKKHPFFBA57CA,46.65,0.0,6.77,,
萬華區,房地(土地+建物),臺北市萬華區雅江街62之1號,15.25,住,,,1090105,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740404,46.69,2,1,1,有,無,6880000,147355,,0.0,0,,RPOPMLRJKHPFFBA77CA,39.98,4.25,0.0,,
文山區,房地(土地+建物),臺北市文山區興隆路三段69號四樓之3,11.54,商,,,1090106,土地2建物1車位0,四層，電梯樓梯間,十一層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0851030,37.43,1,1,1,有,有,6500000,173657,,0.0,0,,RPQNMLLLKHPFFAA27CA,25.5,0.0,4.16,,
文山區,房地(土地+建物),臺北市文山區萬利街41巷12號二樓,33.81,其他,,,1090103,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830705,129.76,3,2,2,有,無,15350000,118295,,0.0,0,,RPQOMLNKKHPFFAA47CA,103.84,8.19,10.46,,
文山區,房地(土地+建物),臺北市文山區萬安街３７巷７號四樓,61.06,住,,,1090103,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760811,121.78,3,2,2,有,無,13200000,108392,,0.0,0,,RPSNMLRJKHPFFAA87CA,99.73,1.26,10.68,,
中正區,房地(土地+建物)+車位,臺北市中正區杭州南路一段７１巷６號,36.5,住,,,1090110,土地1建物1車位1,一層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0610117,138.24,4,1,1,有,無,37000000,267650,坡道平面,0.0,0,,RPPOMLQJLHPFFBA77CA,138.24,0.0,0.0,,
信義區,房地(土地+建物),臺北市信義區忠孝東路四段５５３巷６弄９號三樓,43.75,住,,,1090109,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,108.37,3,2,1,有,無,25000000,230691,,0.0,0,,RPRQMLOKKHPFFDA18CA,108.37,0.0,0.0,,
中山區,房地(土地+建物),臺北市中山區新生北路二段９６號八樓之２０,2.86,商,,,1090110,土地3建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0711224,32.36,0,0,0,無,有,4600000,142151,,0.0,0,,RPVQMLNKKHPFFCA38CA,22.38,0.0,2.85,,
中山區,房地(土地+建物),臺北市中山區林森北路85巷66弄2號3樓之2,13.89,商,,,1090104,土地1建物1車位0,三層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0730804,52.61,1,1,1,有,有,7300000,138757,,0.0,0,,RPUPMLOKKHPFFCA28CA,38.28,0.0,5.23,,
北投區,房地(土地+建物),臺北市北投區自強街１２０巷１５弄１６號三樓,28.0,住,,,1090107,土地3建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740118,107.42999999999999,3,1,1,有,無,14500000,134972,,0.0,0,,RPRNMLNKKHPFFEA87CA,88.14,0.0,10.96,,
中山區,房地(土地+建物)+車位,臺北市中山區北安路８２９號１４樓之２,12.04,住,,,1090101,土地2建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991224,133.51,2,1,1,有,有,25200000,248087,坡道平面,42.01,2500000,,RPQPMLSKKHPFFCA38DA,47.76,1.79,7.24,,
北投區,房地(土地+建物),臺北市北投區石牌路一段７１巷３弄１２號四樓,29.5,住,,,1090102,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660912,110.1,3,1,1,有,無,13500000,122616,,0.0,0,,RPUNMLRKKHPFFEA58CA,102.16,0.0,7.94,,
士林區,房地(土地+建物),臺北市士林區中山北路五段８４２號五樓,30.32,住,,,1090108,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0721122,170.14,4,2,2,有,無,27000000,158693,,0.0,0,,RPQNMLLKKHPFFEA57CA,121.74,0.0,23.05,,
北投區,房地(土地+建物),臺北市北投區榮華三路４３號三樓,43.5,住,,,1090116,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630911,107.26,3,2,2,有,無,17300000,161290,,0.0,0,,RPWPMLLKKHPFFEA38CA,107.26,0.0,0.0,,
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路二段３３8之2號六樓,27.57,住,,,1090103,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031023,181.86,3,2,2,有,有,33800000,185847,坡道平面,41.55,0,,RPOQMLKKKHPFFCA37CA,87.13,2.16,8.71,,
松山區,房地(土地+建物),臺北市松山區撫遠街４００巷２０號,18.98,其他,,,1090108,土地1建物1車位0,一層,四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0600111,42.44,1,1,1,有,無,5360000,126296,,0.0,0,,RPWNMLKLKHPFFDA08CA,40.04,2.4,0.0,,
信義區,房地(土地+建物),臺北市信義區大道路４０號三樓,22.75,住,,,1090110,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0651108,78.43,3,1,1,有,無,14450000,184241,,0.0,0,,RPXOMLMKKHPFFDA38CA,78.43,0.0,0.0,,
南港區,房地(土地+建物),臺北市南港區富康街５號二樓,33.0,商,,,1090101,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,103.95,4,2,2,有,無,17220000,165657,,0.0,0,,RPWPMLKKKHPFFDA18CA,103.95,0.0,0.0,,
松山區,房地(土地+建物),臺北市松山區新東街１２巷３號２樓,43.5,住,,,1090130,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,107.24,3,2,2,有,無,18000000,167848,,0.0,0,,RPXOMLKKKHPFFDA18CA,107.24,0.0,0.0,,
萬華區,房地(土地+建物),臺北市萬華區大理街１７０巷８號五樓之１,21.3,其他,,,1090117,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0701224,145.13,3,2,2,有,有,15500000,106801,,0.0,0,,RPTNMLMKKHPFFBA67CA,103.94,0.0,22.83,,
萬華區,房地(土地+建物),臺北市萬華區中華路二段５０４巷５５號二樓,12.4,住,,,1090131,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,44.66,2,1,1,有,有,6500000,145544,,0.0,0,,RPVOMLMKKHPFFBA97CA,38.94,0.0,5.72,,
內湖區,房地(土地+建物),內湖路一段２１７巷２４號二樓,35.35,住,,,1091103,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0721117,109.28,3,2,2,有,有,17390000,159133,,0.0,0,,RPUNMLKKJIPFFCA77DA,71.73,0.0,9.36,有,
士林區,房地(土地+建物),大南路４００號四樓,25.23,住,,,1091104,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721006,105.56,3,2,1,有,無,13500000,127889,,0.0,0,,RPXPMLLKJIPFFEA68EA,98.23,0.0,7.33,無,
內湖區,房地(土地+建物)+車位,環山路三段１６之１號三樓之１,24.68,住,,,1091106,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,見使用執照,0911007,133.67000000000002,2,2,1,有,無,28000000,209471,其他,29.38,0,,RPUPMLLKJIPFFCA18EA,77.4,0.0,12.41,有,
內湖區,房地(土地+建物)+車位,環山路三段１６之１號二樓之１,22.83,住,,,1091106,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,見使用執照,0911007,124.63,2,2,1,有,無,25000000,200594,其他,29.38,0,,RPWPMLLKJIPFFCA38EA,77.83,0.0,6.48,有,
松山區,房地(土地+建物)+車位,八德路三段１６５號七樓之５,7.9,商,,,1091104,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070331,125.1,2,1,1,有,有,34100000,367621,升降平面,39.55,2650000,,RPRNMLOJJIPFFDA87DA,49.9,3.11,4.62,有,
萬華區,房地(土地+建物),環河南路三段３６１號三樓,23.75,住,,,1091103,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610731,79.46,3,2,1,有,無,8000000,100680,,0.0,0,,RPRNMLNKJIPFFBA77EA,79.46,0.0,0.0,無,
中山區,房地(土地+建物)+車位,五常街１１巷３號十三樓,18.24,住,,,1091103,土地2建物1車位1,十三層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080918,155.03,0,0,0,無,有,35800000,286349,坡道平面,38.04,2300000,,RPUNMLNJJIPFFCA97DA,67.38,4.62,6.67,有,
中山區,房地(土地+建物)+車位,五常街１１巷３號五樓之３,15.06,住,,,1091106,土地2建物1車位1,五層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080918,134.0,3,2,1,有,有,25880000,247812,坡道平面,38.04,2100000,,RPVNMLQJJIPFFCA38DA,55.9,3.72,4.87,有,
內湖區,房地(土地+建物)+車位,文湖街２１巷１１８弄１２號四樓,27.88,住,,,1091101,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070710,139.74,2,2,1,有,有,22000000,178509,升降機械,24.9,1500000,,RPSQMLNJJIPFFCA08DA,56.7,1.43,7.33,有,
中山區,房地(土地+建物)+車位,五常街１１巷５號三樓,18.31,住,,,1091103,土地2建物1車位1,三層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080918,150.8,3,2,2,有,有,33000000,274033,坡道平面,38.04,2100000,,RPWNMLNJJIPFFCA18DA,67.62,0.0,6.67,有,
萬華區,房地(土地+建物),艋舺大道２７５巷１８號十二樓,25.69,都市：其他:特定專用區(一)。,,,1091102,土地1建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080416,177.11,3,2,2,有,有,33400000,188583,,0.0,0,,RPROMLMJJIPFFBA57DA,108.61,1.55,9.71,有,
文山區,房地(土地+建物)+車位,忠順街二段８５巷１５號二樓,26.97,住,,,1091103,土地1建物1車位2,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020103,229.88,3,2,2,有,有,40000000,190375,坡道平面,40.78,4000000,,RPUOMLQKJIPFFAA28DA,110.84,9.6,11.09,有,
內湖區,房地(土地+建物),麗山街３２８巷３號,26.34,住,,,1091105,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720211,114.86,3,2,2,有,有,22000000,191538,,0.0,0,,RPTSMLRKJIPFFCA88DA,79.11,9.76,0.0,無,
中山區,房地(土地+建物),林森北路６０８號四樓,22.25,商,,,1091102,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0560510,74.97,4,0,4,有,無,12880000,171802,,0.0,0,,RPPNMLSKJIPFFCA18EA,74.97,0.0,0.0,無,
士林區,房地(土地+建物),延平北路六段２５８巷５６弄２１號,34.74,住,,,1091110,土地4建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690627,93.82,3,1,1,有,無,14000000,149222,,0.0,0,,RPVOMLSKJIPFFEA09EA,80.56,13.26,0.0,無,
中正區,房地(土地+建物),門街１１３巷１２之３號三樓,37.89,住,,,1091101,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,98.87,3,1,2,有,無,16800000,169920,,0.0,0,,RPTOMLNLJIPFFAA97DA,98.87,0.0,0.0,無,
中正區,房地(土地+建物)+車位,延平南路６７號三樓,9.56,商,,,1091106,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1070119,120.58000000000001,0,0,0,無,有,28690000,291567,升降機械,29.04,2000000,,RPRNMLRKJIPFFBA08DA,53.12,0.0,6.01,有,
松山區,房地(土地+建物),復興北路２２３號六樓,16.85,商,,,1091113,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740522,103.83,3,1,1,有,有,16000000,154098,,0.0,0,,RPOPMLRKJIPFFDA18DA,69.4,0.0,12.51,有,
