鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
文山區,房地(土地+建物)+車位,臺北市文山區汀州路四段239號三樓,35.61,住,,,1090102,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991104,180.18,3,2,2,有,有,24500000,135975,坡道平面,0.0,0,,RPQNMLPKJHPFFAA47CA,96.26,0.0,11.11,,
北投區,房地(土地+建物)+車位,臺北市北投區知行路２７３號九樓,29.12,商,,,1090101,土地1建物1車位1,九層，夾層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0940829,182.36,4,2,2,有,有,20700000,113512,升降平面,29.74,0,,RPUNMLPKJHPFFEA28CA,92.15,6.97,9.5,,
信義區,房地(土地+建物)+車位,臺北市信義區松仁路３０８巷９５號三樓,14.1,住,,,1090103,土地1建物2車位1,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030418,74.42,1,1,1,有,有,15500000,208249,塔式車位,0.0,0,,RPRQMLPKJHPFFDA18CA,37.09,5.2,0.0,,
北投區,房地(土地+建物),臺北市北投區立農街二段8號二樓,27.98,住,,,1090105,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720802,102.52,3,2,1,有,無,14500000,141436,,0.0,0,,RPPPMLKKKHPFFEA67DA,80.29,0.0,14.38,,
中山區,房地(土地+建物)+車位,臺北市中山區明水路４８０號十二樓,79.0,住,,,1090103,土地1建物1車位2,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951128,339.90999999999997,3,2,3,有,有,147000000,432467,坡道平面,84.88,0,,RPPRMLRJKHPFFCA18CA,158.44,1.89,13.36,,
文山區,房地(土地+建物),臺北市文山區忠順街一段９巷１６號四樓,48.7,住,,,1090104,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710619,160.78,3,2,2,有,無,17700000,110088,,0.0,0,,RPQNMLKKKHPFFAA07CA,122.79,0.0,25.79,,
中山區,房地(土地+建物)+車位,臺北市中山區林森北路４８１號八樓之３,4.7,商,,,1090102,土地1建物1車位1,八層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0920122,63.03,1,1,1,有,有,10700000,169760,坡道平面,0.0,0,,RPXUMLLLJHPFFCA78CA,23.02,0.74,3.11,,
士林區,房地(土地+建物),臺北市士林區中山北路7段124巷1號5樓,35.0,住,,,1090103,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721128,118.84,2,2,2,有,無,15000000,126220,,0.0,0,,RPSNMLMLJHPFFEA87CA,91.91,0.0,13.0,,
北投區,房地(土地+建物),臺北市北投區溫泉路１３９號五樓之３５,12.98,其他,,,1090105,土地4建物1車位0,五層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0661017,50.339999999999996,1,1,1,有,有,3500000,69527,,0.0,0,,RPUNMLLLJHPFFEA08DA,35.44,0.0,6.75,,
大安區,房地(土地+建物),臺北市大安區仁愛路四段232號六樓之3,5.26,其他,,,1090102,土地2建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0670912,36.35,0,0,0,無,有,8000000,220083,,0.0,0,,RPSNMLRKKHPFFFA48CA,27.92,0.0,2.68,,
