鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
文山區,房地(土地+建物),臺北市文山區福興路４６巷２弄５號,22.5,住,,,1110206,土地1建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,68.61,2,1,1,有,無,10000000,145751,,0.0,0,,RPXNMLLKKHHGFAA37EA,68.61,0.0,0.0,無,
萬華區,房地(土地+建物),臺北市萬華區漢口街二段５１號九樓之５,6.39,商,,,1110208,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010530,84.19,2,1,1,有,有,17680000,210001,,0.0,0,,RPRNMLPKKHHGFBA17DA,51.78,2.65,0.0,有,0003
中山區,房地(土地+建物),臺北市中山區四平街１０７號六樓之１,9.35,住,,,1110210,土地1建物1車位0,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0900827,38.9,0,0,0,無,有,9700000,249293,,0.0,0,,RPRPMLQKKHHGFCA67EA,19.92,0.56,3.38,有,0008
士林區,房地(土地+建物),臺北市士林區延平北路五段５０號九樓,22.91,住,,,1110209,土地2建物1車位0,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020312,143.46,3,2,2,有,無,24000000,167294,,0.0,0,,RPRNMLMKKHHGFEA17DA,85.25,4.06,6.64,有,
中山區,房地(土地+建物),臺北市中山區民權東路二段２６號十一樓,12.52,商,,,1110215,土地1建物2車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0730406,132.15,2,2,1,有,有,26250000,198638,,0.0,0,,RPXNMLLLKHHGFCA67EA,85.03,0.0,15.88,有,
北投區,房地(土地+建物),臺北市北投區明德路３３３巷２２號,33.0,住,,,1110206,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0620108,94.3,3,2,1,有,無,23300000,247084,,0.0,0,,RPTRMLLLKHHGFEA87EA,94.3,0.0,0.0,無,
內湖區,房地(土地+建物)+車位,臺北市內湖區文德路２１０巷３０弄１００號八樓之１,19.19,住,,,1110211,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0911031,127.59,2,1,1,有,有,23500000,184184,坡道平面,28.99,0,,RPOPMLMLKHHGFCA07EA,52.06,0.0,9.83,有,0019
內湖區,房地(土地+建物)+車位,臺北市內湖區文湖街２１巷１１８弄１２號五樓之１,26.31,住,,,1110210,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070710,133.27,2,2,1,有,有,23660000,202639,其他,24.9,1700000,,RPTPMLMLKHHGFCA57EA,50.46,3.98,7.33,有,
信義區,房地(土地+建物),臺北市信義區信義路四段４１３號八樓之２,11.27,商,,,1110216,土地2建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0730830,121.82,3,2,2,有,有,29050000,238467,,0.0,0,,RPRRMLLLJHHGFDA47EA,94.78,0.0,7.05,有,
中山區,房地(土地+建物),臺北市中山區撫順街２３號五樓之３,11.66,商,,,1110207,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931203,117.95,2,1,2,有,有,21500000,182281,,0.0,0,,RPRNMLNLKHHGFCA27EA,72.01,0.98,6.93,有,
