鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
士林區,房地(土地+建物),臺北市士林區中山北路七段２２８之２號四樓,41.42,住,,,1080102,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730427,146.1,3,2,2,有,無,20000000,136893,,0.0,0,,RPXOMLLMJHOFFEA48DA,110.69,0.0,16.4,,
士林區,房地(土地+建物),臺北市士林區福港街２２１號四樓,11.88,住,,,1080102,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700314,31.22,3,2,2,有,無,4070000,130365,,0.0,0,,RPPPMLPLJHOFFEA08DA,26.87,0.0,4.35,,
文山區,房地(土地+建物),臺北市文山區興隆路三段１３７號三樓之９,6.39,住,,,1080101,土地1建物1車位0,三層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970523,30.39,1,1,1,有,有,6350000,208950,,0.0,0,,RPWNMLPKJHOFFAA97CA,16.91,2.59,0.0,,
文山區,房地(土地+建物),臺北市文山區木柵路二段168巷3號二樓,26.75,住,,,1080104,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,57.02,2,2,1,有,無,11600000,203437,,0.0,0,,RPQNMLTKJHOFFAA77CA,57.02,0.0,0.0,,
中山區,房地(土地+建物),臺北市中山區民權東路一段４２號三樓之３,4.8,商,,,1080104,土地1建物1車位0,三層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0961002,42.18,1,1,1,有,有,7800000,184922,,0.0,0,,RPVPMLPKJHOFFCA28CA,25.96,0.69,3.06,,
北投區,房地(土地+建物)+車位,臺北市北投區吉利街３５９號七樓,18.71,住,,,1080103,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030605,93.41,2,1,2,有,無,20000000,224884,升降機械,11.59,1600000,,RPWOMLPLJHOFFEA58CA,41.14,3.62,4.74,,
北投區,房地(土地+建物),臺北市北投區中山路１之１２號,8.27,其他,,,1080108,土地1建物1車位0,一層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0670404,47.08,1,1,1,有,有,4900000,104078,,0.0,0,,RPTOMLTLJHOFFEA68CA,38.47,2.85,0.0,,
萬華區,房地(土地+建物),臺北市萬華區武成街４巷６號二樓,25.5,住,,,1080102,土地2建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0571218,78.62,0,0,0,無,無,8200000,104299,,0.0,0,,RPUNMLSKJHOFFBA18CA,72.08,0.0,6.54,,
中正區,房地(土地+建物),臺北市中正區杭州南路一段８之２號七樓、8之2號七樓之1,34.69,住,,,1080103,土地1建物2車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0650702,189.94,0,0,0,無,無,40000000,210593,,0.0,0,,RPTNMLLLJHOFFBA47CA,153.18,0.0,21.38,,
內湖區,房地(土地+建物),臺北市內湖區康寧路三段１８９巷８３弄１７號３樓,28.63,住,,,1080107,土地1建物1車位0,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831229,111.33,3,2,1,有,有,13800000,123956,,0.0,0,,RPTPMLTKJHOFFCA48CA,77.05,0.0,10.56,,
中山區,房地(土地+建物),臺北市中山區復興南路一段４４號十一樓之４,3.53,商,,,1080106,土地1建物1車位0,十一層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0701008,36.59,1,1,1,有,有,8850000,241869,,0.0,0,,RPTSMLMLJHOFFCA18CA,26.39,0.0,3.54,,
中山區,房地(土地+建物),臺北市中山區林森北路413號8樓之8,8.57,商,,,1080107,土地3建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0730927,88.13,3,2,2,有,有,13250000,150346,,0.0,0,,RPRTMLSLJHOFFCA78DA,69.0,0.0,2.75,,
北投區,房地(土地+建物)+車位,臺北市北投區中和街３９８巷５弄１４之１號三樓,76.85,住,,,1080110,土地4建物1車位1,三層，四層,十層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840622,208.07,4,2,2,有,有,18000000,86509,坡道平面,0.0,0,,RPOOMLSLLHOFFEA38DA,101.46,43.7,8.51,,
