鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
信義區,房地(土地+建物)+車位,臺北市信義區松信路５０巷１０號六樓,56.31,住,,,1070418,土地1建物1車位3,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021206,388.57,0,0,0,無,有,74200000,272415,坡道平面,132.71,4500000,,RPVNMLLJQHNFFDA28CA,148.94,12.03,17.94,,
信義區,房地(土地+建物),臺北市信義區中坡北路15巷16號4樓,29.53,住,,,1070523,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720720,110.76,3,2,2,有,無,18000000,162514,,0.0,0,,RPQPMLNKPHNFFDA18CA,94.07,0.0,13.18,,
南港區,房地(土地+建物),臺北市南港區中南街１４２之３號二樓,10.28,住,,,1070615,土地1建物1車位0,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861110,42.85,1,1,1,有,有,7500000,175029,,0.0,0,,RPPNMLTJPHNFFDA38CA,23.28,0.0,7.67,,
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路三段６０巷３１號１５樓,25.3,住,,,1070606,土地1建物1車位1,十五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060407,186.6,3,2,2,有,有,36000000,216343,坡道平面,28.98,1900000,,RPPOMLRKQHNFFCA38CA,90.07,9.7,5.42,,
北投區,房地(土地+建物),臺北市北投區珠海路９０號二樓,19.92,住,,,1070523,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0701231,116.4,3,2,2,有,有,13950000,119845,,0.0,0,,RPUPMLPLPHNFFEA98CA,83.33,0.0,9.31,,
北投區,房地(土地+建物)+車位,臺北市北投區行義路１５４巷１１之１號二樓,63.37,住,,,1070529,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030813,176.64,3,2,2,有,有,23500000,157302,坡道平面,35.51,1300000,,RPTNMLRLPHNFFEA88CA,79.43,6.96,10.98,,
北投區,房地(土地+建物),臺北市北投區公?路２３１巷３號二樓,39.08,住,,,1070619,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1021119,168.91,3,2,2,有,有,26500000,156888,,0.0,0,,RPXOMLQKPHNFFEA56CA,91.72,6.47,9.43,,
大安區,房地(土地+建物)+車位,臺北市大安區四維路66巷6號3樓,28.19,住,,,1070513,土地1建物1車位1,三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840915,173.63,3,2,2,有,有,44110000,254046,坡道平面,0.0,0,,RPXOMLTJPHNFFFA86CA,88.84,1.23,11.4,,
大安區,房地(土地+建物)+車位,臺北市大安區大安路二段３巷５５號十樓,28.36,住,,,1070516,土地1建物1車位2,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061228,247.13,3,2,2,有,有,66880000,334882,坡道平面,64.14,5600000,,RPSNMLMJQHNFFFA28CA,101.18,8.7,9.71,,
內湖區,房地(土地+建物),臺北市中山區金湖路12號3樓,34.42,住,,,1070528,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670725,97.13,0,0,1,無,無,13800000,142078,,0.0,0,,RPXNMLQJPHNFFCA88DA,85.56,0.0,11.57,,
中山區,房地(土地+建物)+車位,臺北市中山區林森北路５８７號９樓,9.29,商,,,1070608,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000726,128.9,2,1,1,有,有,22000000,220687,坡道平面,39.18,2200000,,RPVNMLRJPHNFFCA78DA,49.48,1.08,4.57,,
北投區,房地(土地+建物),臺北市北投區尊賢街218巷27弄4號2樓,19.63,住,,,1070622,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610822,55.54,3,2,2,有,無,6000000,108030,,0.0,0,,RPOOMLMKPHNFFEA97DA,55.53,0.0,0.0,,
內湖區,房地(土地+建物),臺北市內湖區康樂街２０４之３號３樓之５,7.67,住,,,1070522,土地1建物1車位0,三層,十一層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970331,41.900000000000006,1,1,1,有,有,6380000,152267,,0.0,0,,RPWNMLRJPHNFFCA88DA,25.45,0.81,2.91,,
中山區,房地(土地+建物),臺北市中山區中山北路二段５９巷２４號４樓之１,9.98,商,,,1070523,土地1建物2車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780522,108.81,3,2,2,有,無,16300000,149802,,0.0,0,,RPUNMLOKPHNFFCA48DA,86.34,0.0,9.16,,
文山區,房地(土地+建物)+車位,臺北市文山區木柵路三段１７７號２０樓,24.81,商,,,1070504,土地1建物1車位2,二十層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0981126,328.37,6,2,3,有,有,53000000,184381,坡道平面,68.04,5000000,,RPVNMLRLPHNFFAA78DA,161.2,4.0,17.78,,
